date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:21	4871/4871	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jun%202018%2011:14:36%20GMT	http://skygreenwaste.com/robots.txt		(from )
16:44:22	19804/19804	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2009%20Jun%202018%2011:14:36%20GMT	http://skygreenwaste.com/	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/index.html	(from )
16:44:22	4881/4881	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jun%202018%2011:14:37%20GMT	http://skygreenwaste.com/img/favicon.ico	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/favicon.0.delayed	(from http://skygreenwaste.com/)
16:44:23	122231/122231	U-----	200	untouched ('OK')	text/css	etag:%228f8e270a880d31:0%22	http://skygreenwaste.com/css/bootstrap.min.css	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/css/bootstrap.min.css	(from http://skygreenwaste.com/)
16:44:23	4891/4891	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jun%202018%2011:14:37%20GMT	http://skygreenwaste.com/www.phitsolution.com	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/www.phitsolution.1.delayed	(from http://skygreenwaste.com/)
16:44:23	86308/86308	U-----	200	untouched ('OK')	text/css	etag:%229e8d460a880d31:0%22	http://skygreenwaste.com/css/material-design-iconic-font.min.css	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/css/material-design-iconic-font.min.css	(from http://skygreenwaste.com/)
16:44:23	37796/37796	U-----	200	untouched ('OK')	text/css	etag:%2211de160a880d31:0%22	http://skygreenwaste.com/css/font-awesome.min.css	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/css/font-awesome.min.css	(from http://skygreenwaste.com/)
16:44:24	77139/77139	U-----	200	untouched ('OK')	text/css	etag:%223e3e570a880d31:0%22	http://skygreenwaste.com/css/plugins.css	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/css/plugins.css	(from http://skygreenwaste.com/)
16:44:24	89686/89686	U-----	200	untouched ('OK')	text/css	etag:%22fd232fe53981d31:0%22	http://skygreenwaste.com/css/style.css	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/css/style.css	(from http://skygreenwaste.com/)
16:44:24	4927/4927	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jun%202018%2011:14:38%20GMT	http://skygreenwaste.com/fonts/glyphicons-halflings-regular.eot	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/fonts/glyphicons-halflings-regular.2.delayed	(from http://skygreenwaste.com/css/bootstrap.min.css)
